epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6525.56,0.50795,0.81544,0.76828,0.92879,0.86874,0.68571,0.82204,0.71485,0.74956,0.79815,0.81041,0.65162,0.52873,1.12487,0.90708,1.08187,0.000614,0.000614,0.000614
72,6616.9,0.47888,0.68022,0.72156,0.92576,0.72904,0.78095,0.8096,0.71147,0.72904,0.78095,0.80143,0.64307,0.53215,1.1455,0.89547,1.08557,0.0005942,0.0005942,0.0005942
73,6708.06,0.45829,0.68581,0.7619,0.94115,0.79188,0.71429,0.81024,0.70416,0.79182,0.7245,0.80625,0.63838,0.53529,1.11232,0.8663,1.08866,0.0005744,0.0005744,0.0005744
74,6798.23,0.46088,0.67951,0.72497,0.93104,0.71741,0.80952,0.8114,0.6957,0.73371,0.82857,0.80091,0.62185,0.53373,1.12048,0.88616,1.1049,0.0005546,0.0005546,0.0005546
75,6888.6,0.4607,0.70844,0.70362,0.92374,0.74075,0.81905,0.82838,0.7162,0.76508,0.84762,0.8332,0.65375,0.51704,1.07745,0.84853,1.09152,0.0005348,0.0005348,0.0005348
76,6977.31,0.46686,0.6885,0.71766,0.91434,0.76688,0.81905,0.85124,0.73566,0.78388,0.84762,0.84603,0.68179,0.52754,1.05971,0.83547,1.10393,0.000515,0.000515,0.000515
77,7068.84,0.46004,0.71607,0.70427,0.91135,0.76688,0.81905,0.85124,0.73566,0.78388,0.84762,0.84603,0.68179,0.52754,1.05971,0.83547,1.10393,0.0004952,0.0004952,0.0004952
78,7160.47,0.47464,0.64738,0.67246,0.9184,0.79356,0.82857,0.86792,0.74416,0.80773,0.82857,0.85148,0.68808,0.51398,1.05249,0.82823,1.08628,0.0004754,0.0004754,0.0004754
79,7251.27,0.46474,0.71528,0.70759,0.91221,0.80484,0.80952,0.87329,0.76064,0.82035,0.81905,0.85275,0.69754,0.50208,1.02145,0.80935,1.07888,0.0004556,0.0004556,0.0004556
80,7344.1,0.45703,0.61688,0.70542,0.91719,0.801,0.82857,0.87071,0.75809,0.8081,0.8381,0.85611,0.68676,0.51155,1.0055,0.83923,1.09022,0.0004358,0.0004358,0.0004358
81,7440.26,0.46034,0.66894,0.65303,0.89866,0.7904,0.81905,0.85667,0.73418,0.80226,0.8381,0.85257,0.67439,0.51168,1.08799,0.86785,1.07942,0.000416,0.000416,0.000416
82,7531.8,0.46051,0.61433,0.68538,0.91584,0.79621,0.78095,0.85374,0.74362,0.80666,0.79048,0.84859,0.67838,0.49296,1.01362,0.81082,1.06006,0.0003962,0.0003962,0.0003962
83,7625.25,0.43915,0.6546,0.6418,0.91021,0.80559,0.8,0.85586,0.73932,0.80559,0.8,0.84721,0.68716,0.50515,0.90806,0.80855,1.06661,0.0003764,0.0003764,0.0003764
84,7717.66,0.44635,0.63971,0.722,0.94637,0.77839,0.78095,0.84853,0.73916,0.73814,0.84762,0.84203,0.67526,0.49098,0.89902,0.81325,1.03791,0.0003566,0.0003566,0.0003566
85,7811.88,0.43751,0.60929,0.654,0.90061,0.77839,0.78095,0.84853,0.73916,0.73814,0.84762,0.84203,0.67526,0.49098,0.89902,0.81325,1.03791,0.0003368,0.0003368,0.0003368
86,7904.31,0.44703,0.63565,0.64039,0.90123,0.79066,0.75238,0.84917,0.73114,0.74841,0.82163,0.84184,0.68089,0.49472,0.88592,0.81562,1.03952,0.000317,0.000317,0.000317
87,7997.17,0.47677,0.70713,0.69634,0.93404,0.84313,0.71664,0.83476,0.71416,0.73791,0.80952,0.82981,0.67634,0.5017,0.91598,0.84721,1.0497,0.0002972,0.0002972,0.0002972
88,8088.62,0.43439,0.63722,0.67195,0.9167,0.73162,0.80952,0.83534,0.71036,0.74023,0.81905,0.83419,0.65562,0.51034,0.94568,0.88557,1.05921,0.0002774,0.0002774,0.0002774
89,8242.15,0.4597,0.6197,0.6571,0.9279,0.77991,0.77626,0.83535,0.69451,0.7733,0.79048,0.81746,0.64371,0.54992,1.26421,0.92531,1.12563,0.0002576,0.0002576,0.0002576
90,8346.29,0.42567,0.59233,0.66646,0.90833,0.79676,0.78407,0.83218,0.68883,0.78378,0.79405,0.81957,0.64244,0.58015,1.48858,0.92949,1.19702,0.0002378,0.0002378,0.0002378
91,8445.9,0.4141,0.8449,0.83988,0.92541,0.74413,0.79048,0.82509,0.67963,0.73517,0.78095,0.80302,0.62984,0.66974,2.00875,0.95488,1.38128,0.000218,0.000218,0.000218
92,8541.73,0.41999,0.73681,0.80861,0.92556,0.70105,0.78167,0.80304,0.65345,0.70959,0.79119,0.79538,0.60271,0.67716,1.93184,1.02035,1.38719,0.0001982,0.0001982,0.0001982
93,8643.24,0.43807,0.7329,0.8128,0.94648,0.70105,0.78167,0.80304,0.65345,0.70959,0.79119,0.79538,0.60271,0.67716,1.93184,1.02035,1.38719,0.0001784,0.0001784,0.0001784
94,8739.9,0.39752,0.67056,0.72608,0.92221,0.6952,0.80373,0.80297,0.65642,0.69858,0.79048,0.76281,0.59522,0.64421,1.83515,1.04674,1.30415,0.0001586,0.0001586,0.0001586
95,8837.57,0.37748,0.61634,0.75708,0.86952,0.72168,0.79025,0.805,0.67245,0.73701,0.80069,0.80284,0.62732,0.57312,1.41202,0.95745,1.16015,0.0001388,0.0001388,0.0001388
96,8928.37,0.36306,0.60781,0.72208,0.87229,0.69794,0.80952,0.80005,0.67818,0.7017,0.80653,0.79472,0.62626,0.5379,1.26133,0.91905,1.11759,0.000119,0.000119,0.000119
97,9019.18,0.38798,0.56063,0.72962,0.8951,0.69893,0.80952,0.80785,0.68752,0.69071,0.8,0.79041,0.63182,0.5366,1.15077,0.87209,1.11104,9.92e-05,9.92e-05,9.92e-05
98,9107.46,0.39922,0.61432,0.74733,0.8943,0.73976,0.80952,0.814,0.69814,0.73106,0.8,0.79486,0.6455,0.53474,1.12147,0.83272,1.11315,7.94e-05,7.94e-05,7.94e-05
99,9196.94,0.4095,0.60345,0.73306,0.89304,0.74933,0.79048,0.81605,0.7001,0.75693,0.79048,0.79753,0.65085,0.53678,1.11497,0.8339,1.12429,5.96e-05,5.96e-05,5.96e-05
100,9284.91,0.40531,0.5908,0.68294,0.91719,0.77603,0.79048,0.8256,0.71125,0.80082,0.76586,0.80646,0.66098,0.53727,1.11993,0.81347,1.13288,3.98e-05,3.98e-05,3.98e-05
